2022-05-16 07:05:648 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (470edb597efc56679d1120d8a7f143b4)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:672 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (470edb597efc56679d1120d8a7f143b4)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:220 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:390 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (21186dcbed851b2832bbda89a54af305)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:407 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (21186dcbed851b2832bbda89a54af305)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:378 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:520 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (9a976d0a548daa861f8dd872db39098c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:536 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (9a976d0a548daa861f8dd872db39098c)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:774 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:118 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (ad8458a4d913e889f59bf7a771cf7839)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:148 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (ad8458a4d913e889f59bf7a771cf7839)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:242 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:681 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (3b8f4281f0f936659591a9ba8d50c8bc)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:692 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (3b8f4281f0f936659591a9ba8d50c8bc)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:870 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:478 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (5ac964ce6b3338c26c115d3a3d924993)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:494 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (5ac964ce6b3338c26c115d3a3d924993)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:945 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:725 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (4feba3f21561c1a0f295246ee6fd0910)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:743 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (4feba3f21561c1a0f295246ee6fd0910)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:612 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:249 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (3dccb542bfaa4f0c1d65a17ef868eb50)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:273 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (3dccb542bfaa4f0c1d65a17ef868eb50)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:430 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:624 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (adfda94d4dfdb3d41514da642c6ad075)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:649 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (adfda94d4dfdb3d41514da642c6ad075)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:684 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:236 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (1a1fc13ac86810da51bb695baa5b8f0f)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 07:05:260 INFO  RegisterPage :37 - Click on register button :[[ChromeDriver: chrome on WINDOWS (1a1fc13ac86810da51bb695baa5b8f0f)] -> xpath: //button[@id='register-button']]
2022-05-16 07:05:429 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 07:05:720 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (62f966ae8b0fc91f4ede402e0269f76d)] -> xpath: //a[contains(text(),'Register')]]
